,freesound_id,path,start_sample,end_sample,mean_pitch,loudness,voiced_fraction,pitch_drift_cents,pitch_confidence,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
35,128038,data/collections/barnyard/sounds/128038_589889-hq.ogg,31232,54656,62.0,0.06090014873072725,1.0,46.52575444993076,0.2401517927646637,-906.93256,191.07622,55.02564,38.657677,-65.42111,-40.894703,-62.916115,-37.708492,13.948962,-22.738253,-15.834408,-6.690841,-22.320024
36,418107,data/collections/barnyard/sounds/418107_6078577-hq.ogg,256,25216,72.0,0.10504782180440049,1.0,25.537201352799094,0.12528662383556366,-917.23047,130.46349,-44.514996,-55.23105,-33.167866,-21.15047,-22.949753,-5.6601377,1.2522179,-1.1233335,8.645608,7.415051,8.9068575
37,518566,data/collections/barnyard/sounds/518566_6767177-hq.ogg,22400,41472,78.0,0.1610221391254986,1.0,13.911623025411409,0.3267822265625,-1013.8493,177.17955,-95.95581,-155.71669,-71.21714,-29.267435,-31.187605,2.7223144,46.527557,45.5234,5.6904526,-36.305984,-51.21734
38,518566,data/collections/barnyard/sounds/518566_6767177-hq.ogg,41728,68352,77.0,0.24274716938851437,1.0,17.022350387895013,0.3267822265625,-1015.8328,196.43399,-64.79125,-152.76239,-94.08935,-46.65321,-43.357475,-23.423977,34.243538,65.04961,25.547474,-22.544588,-33.30983
39,518566,data/collections/barnyard/sounds/518566_6767177-hq.ogg,106624,120448,82.0,0.07850326006211741,1.0,17.581936980771285,0.15794140100479126,-985.8995,206.01353,-50.56276,-135.29813,-117.16235,-52.8507,4.732823,-0.7332879,11.507631,33.945564,-22.765104,-35.795628,50.077007
40,752093,data/collections/barnyard/sounds/752093_71257-hq.ogg,57472,75264,85.0,0.007677016481271282,1.0,19.491906449451566,0.033981382846832275,-839.1834,69.36421,-24.511362,-10.063224,-0.27784812,18.273947,10.886431,0.34242317,3.5111141,-21.584793,-9.086235,2.3139288,18.091106
41,588314,data/collections/barnyard/sounds/588314_12594692-hq.ogg,120448,133632,70.0,0.0007030317215640637,1.0,47.02907360176602,0.0024539430160075426,-1144.8738,116.960655,18.328756,-31.751411,-23.096998,-10.211068,-18.431372,-25.255083,-11.29626,13.662175,30.036142,30.969704,23.976349
42,625499,data/collections/barnyard/sounds/625499_13366994-hq.ogg,29952,42880,66.0,0.018354119952547085,1.0,20.591329420201724,0.09655050188302994,-836.25977,51.386097,-29.409058,8.751752,-55.705063,-52.856537,-42.032673,-60.99203,-37.273792,1.4902681,-13.001601,-26.37356,-18.85531
43,625499,data/collections/barnyard/sounds/625499_13366994-hq.ogg,43136,59648,65.0,0.01607869173536647,1.0,17.870625531206407,0.09655050188302994,-871.8053,67.71483,-9.722719,3.8614287,-45.75479,-53.080452,-53.880974,-48.11439,-33.348087,-19.2994,-28.068916,-14.369697,-19.72377
44,625499,data/collections/barnyard/sounds/625499_13366994-hq.ogg,59904,85888,65.0,0.01503480270164206,1.0,10.973909577487557,0.09655050188302994,-910.65295,69.54902,-9.895797,-0.035915375,-64.9458,-66.30024,-51.17276,-55.074852,-35.58029,-26.889826,-18.766008,-6.5814986,-13.367361
45,625499,data/collections/barnyard/sounds/625499_13366994-hq.ogg,86144,125440,64.0,0.010834511258549983,1.0,9.0729757355732,0.09655050188302994,-947.3744,69.01976,-24.203423,15.432763,-48.32349,-63.014675,-50.37453,-74.74067,-25.442596,-13.628503,-33.00186,-16.262833,-15.933742
46,158976,data/collections/barnyard/sounds/158976_1386366-hq.ogg,17152,35072,77.0,0.021306537762503068,1.0,22.031658284840347,0.05726198852062225,-970.19934,163.99394,-0.5883652,-51.66529,-49.441357,-21.693344,-7.1336083,30.25325,52.359627,36.8376,7.4427986,1.9148659,2.5347402
47,158976,data/collections/barnyard/sounds/158976_1386366-hq.ogg,35328,49408,76.0,0.007944459097349942,1.0,33.98804464975317,0.05538300777023489,-1011.12866,140.00287,0.52626365,-31.614056,-21.660656,-2.2351604,-14.644042,11.477469,49.369133,52.53174,18.252481,-7.572344,-10.802672
